track_id	start	end	duration	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B	key_diatonic_root_label	key_diatonic_root
0	0.000000	2.612267	2.612267	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
0	2.612267	11.459070	8.846803	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1	E	4.000000
0	11.459070	12.921927	1.462857	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0	E	4.000000
0	12.921927	17.443474	4.521547	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1	E	4.000000
0	17.443474	20.410362	2.966888	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1	E	4.000000
0	20.410362	21.908049	1.497687	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1	E	4.000000
0	21.908049	23.370907	1.462858	E:7/3	4	8	0	0	1	0	1	0	0	0	1	0	0	1	E	4.000000
0	23.370907	24.856984	1.486077	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0	E	4.000000
0	24.856984	26.343061	1.486077	A:min/b3	9	0	1	0	0	0	1	0	0	0	0	1	0	0	E	4.000000
0	26.343061	27.840748	1.497687	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1	E	4.000000
0	27.840748	29.350045	1.509297	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1	E	4.000000
0	29.350045	35.305963	5.955918	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1	E	4.000000
0	35.305963	36.803650	1.497687	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0	E	4.000000
0	36.803650	41.263102	4.459452	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1	E	4.000000
0	41.263102	44.245646	2.982544	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1	E	4.000000
0	44.245646	45.720113	1.474467	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1	E	4.000000
0	45.720113	47.206190	1.486077	E:7/3	4	8	0	0	1	0	1	0	0	0	1	0	0	1	E	4.000000
0	47.206190	48.692267	1.486077	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0	E	4.000000
0	48.692267	50.155124	1.462857	A:min/b3	9	0	1	0	0	0	1	0	0	0	0	1	0	0	E	4.000000
0	50.155124	51.652811	1.497687	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1	E	4.000000
0	51.652811	53.138888	1.486077	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1	E	4.000000
0	53.138888	56.111043	2.972155	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1	E	4.000000
0	56.111043	65.131995	9.020952	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0	E	4.000000
0	65.131995	68.150589	3.018594	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1	E	4.000000
0	68.150589	71.192403	3.041814	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0	E	4.000000
0	71.192403	74.199387	3.006984	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1	E	4.000000
0	74.199387	75.697074	1.497687	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0	E	4.000000
0	75.697074	80.236575	4.539501	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1	E	4.000000
0	80.236575	83.208730	2.972155	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1	E	4.000000
0	83.208730	86.221693	3.012963	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1	E	4.000000
0	86.221693	87.736621	1.514928	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0	E	4.000000
0	87.736621	89.257528	1.520907	A:min/b3	9	0	1	0	0	0	1	0	0	0	0	1	0	0	E	4.000000
